,id,text,ron,religion,social_spheres,sentiment
0,1529900394377359368,@BobOnderMO Religion-tinged politics didn’t stop the enslavement of people in our country. Religion does not equal morality. Try harder.,,,,
1,1529900386651451437,"@KnightPenitent God Says What He Means &amp; Means What He Says...i was TAUGHT that this is NOT true in my Religion Class in school...my heart twisted on that? since its a LIE. 
Truth Is Pure Plain Simple....like Mother Mary.
men complicate it &amp; say Truth Says OTHER than what Truth Is Saying.",,,,
2,1529900368640954369,"@RobertaGleicher @OpenDuskToDawn @RonFilipkowski If the photo we're talking about was correct, evangelical Christians would've been listed with conservatives &amp; Republicans. The photo groups ALL Muslims with ISIS. 
I don't know how to make it any more clear to you. I personally am sick of my entire religion being accused of 💩",,,,
3,1529900366279544833,@Mohansinha Please don't make fun of our religion... Don't hurt our religious sentiments,,,,
4,1529900365281472536,"@MonicaCarmean @YuriShirman @cumbia1329 @meganmmenchaca @WSJ Which makes absolutely no difference to those who choose to do so anyway. I have respect for religion but you must realise it was a construct made before sciences. There is no god, or higher power, it’s just a fact. There was no entity or being that came back from the dead. Sorry",,,,
5,1529900346620973056,Always protection; Muslims don’t be raping otha men so when u get down with them it’s automatic protection u just gotta follow they religion til u out. Blacks always fightin Mexicans &amp; whites but it’s rules to where u can’t touch other gangs so get wit someone or go at it solo https://t.co/aCKsGBqHS9,,,,
6,1529900306150064128,"@john_bobbins @MollyJongFast @TheAtlantic With respect to religion, I'm an atheist. My concern with his rhetoric around Muslims was that Muslim Americans were already facing increased threats of violence at the time and his rhetoric equating all Muslims with radical Muslims was in my opinion dangerous.",,,,
7,1529900304006885413,"@MushaalMullick Resistance in it's purest form. Salute to both of you for not giving in to atrocities and keeping your flag and religion up.. 
With hardships comes ease, and Kashmir as a nation will rise. ..",,,,
8,1529900299057606695,"@terranovvva @972mag @NoyOrly Exactly!!!!! Religion has nothing to do with it, so why does the other guy say they should go to Jordan or another Muslim country???",,,,
9,1529900298504126464,@ZoyaQadr Muslim leadership or infact leadership of any religion has always been held by people who don't promote human rights.,,,,
10,1529900288139616256,@IndiaToday @PoojaShali God all this for religion?? Bloody swines,,,,
11,1529900277754540033,@johnnyRyall11 @adamantNEO @CraftDtv @blackbear93 @GPollowitz Being a Christian is not a religion...people have turned it into that.,,,,
12,1529900271211794432,"@manojmuntashir poem and passion mirror of present past culture and spirits,lyrics have been set up meticulously to link mind and heart,it is reflecting society as majority of population could not get one saying but remain splinter for truth that our religion has not single GOD !",,,,
13,1529900269143830538,"I made you find religion, but in her absence. Better
؟?
سےفے نمشے https://t.co/JQxttUtaM5",,,,
14,1529900254413434891,"@virginiafoxx We need COMMON SENSE LAWS NOW
@gop is on a roll attacking #LGBT &amp; #WomensRights
#abortion &amp; pushing their religion
#gop wont allow any laws to restrict profit of their main pay day #NRA @NRA
#NRAownsGOP
#NRA2022
#MarchForOurLives
#SandyHookPromise
#NeverForget
#BidenActNow https://t.co/Yxi0ZCYs1J",,,,
15,1529900248310722594,@biggusd41260013 Yes they in the main will never class themselves as British don't want our cultures religion ppl just our money and country,,,,
16,1529900248247808013,"@TheMoniPrint exactly, like shes rlly not imposing her religion or views on everyone else either thank GOD",,,,
17,1529900241956352012,a particular religion only does one thing. It convinced you that you are better than others. The seed of supremacy theories lies right there. #Realism #Reason #Humanism #Atheism,,,,
18,1529900240547065867,Racism is America’s biggest problem and the source comes directly from religion which paradoxically claims it fosters love. Nothing could be further from the truth. The division caused by believing you are more moral and have an advantage over others because you believe…1/2,,,,
19,1529900239896752129,The Power Behind Religion Part 2 https://t.co/fksqE7b3ax,,,,
20,1529900229570572295,"Tithes are 10% of your income (Leviticus 27:30), and it can't count as an offering. Don't forget to check out episode 3, as we discuss #Tithing with Rev. Mitchell Tull. 👏🏾 Listen now: https://t.co/5qPnpErdgZ  #podcast #tithes #church #offering #religion https://t.co/lYBEjjw2Sh",,,,
21,1529900228467470352,"Awaits himself moved here,relying on you for life. success is not a religion. Doubt
؟?
سےفے نمشے https://t.co/vVY03DwJ6N",,,,
22,1529900227674746914,@JesseKellyDC @KamalaHarris Its in pursuit of her religion so anything goes. Probably for all holes.,,,,
23,1529900223157481477,@Ajibmah @Gistloversblog1 Islam is not all peace and love neither. We doesn't need to sugarcoat our religion to satify non-believers we take all of it. And our religion does contain a part of necessary violence in order to preserve itself or spread. That a fact,,,,
24,1529900205335883804,@BlueKansan89 @LightFrog368 @dotheright_liv @KCStar Yea I have. Now where do these men and women you refer to as “government” in your religion get their rights and authority to do things normal mortal men can’t??,,,,
25,1529900198180401167,"On #Thursday When I do #good, I #feelgood; when I do #bad, I #feelbad, and that is my #religion. Quote: Abraham Lincoln #TuesdayThoughts #Morality #MohammedAli #LoveSimplicity More quotes on #YouTube: https://t.co/HP7PZ46PdD https://t.co/qTM0oGWvse",,,,
26,1529900193298231311,"@kayseesomesin @nsfwnox Moood, also I think your religion kink is showing :p",,,,
27,1529900179591008256,"Eugenics is also about the tyranny of science. Forget the tired old argument about religion persecuting science. G.K. Chesterton points out the obvious fact that in the modern world, it is the quite the other way around. #Eugenics",,,,
28,1529900176168693768,"🗣 Can you answer this question from a senior advisor working on diversity &amp; inclusion with Public Safety Canada 👀 ?

Share your insights or resources by logging in and heading to our Q&amp;A board below ⬇️ ✍️

https://t.co/xxP7l5YtuS

#liberalism #systemicracism https://t.co/vducIkrI6h",,,,
29,1529900170569076737,"@kaushikrj6 #HindutvaTerrorists wanted to implement their #hindutvaRapistsRules.
HinduStudents can follow what is their religion allowed, Muslims will follow as per Islam what is allowed. Both Religions are not same. 
 #hijab #muslims #india 
https://t.co/R27SSSYTvg",,,,
30,1529900148200857600,"""In so many ways, we have found differences between each other in terms of nationality, race, religion, caste, creed. Soil is not only an ecological issue, it is also a way of bringing Humanity together,"" - Sadhguru #SaveSoil https://t.co/NVaOtxNzKE",,,,
31,1529900142643621905,"@craigtimes @MiamiHEAT @marcorubio @Alex_Roarty The MSD shooting happened on 2/14/18, since then @marcorubio has done nothing to protect children from gun violence. He is just a phony Christian using religion as a prop to stay in power.

Watch what I do, not what I say... #ProLifeHypocrisy",,,,
32,1529900119759499276,"Resistance in it's purest form. Salute to both of you for not giving in to atrocities and keeping your flag and religion up.. 
With hardships comes ease, and Kashmir as a nation will rise. .. https://t.co/mdjONQqU54",,,,
33,1529900111211507729,"We need to think about this, some states are govern by the religion.Religion and government should not mix.We found it our country on freedom of religion. Our forefathers,those who wrote the constitution had multiple different beliefs but believe in separation of church &amp; state. https://t.co/fkJjYLxs3M",,,,
34,1529900099127713792,"I do not care what your color, creed, or religion is. If you kill anyone and it's not self-defense, you are a murderer. Adding a ""hate crime"" to it is stupid.",,,,
35,1529900084854263808,God is the answer no one wants to hear - no religion required even - infants &amp; children should be taught they are under constant attack from demons - a connection to God facilitates fending them off - know your enemy - in that world none of this would happen - God Bless🇺🇸🇺🇦🌎🌍🌏 https://t.co/Kh9PuuJm0D,,,,
36,1529900080731500549,"Not understand? The world is cast at tides of politics + religion for most of civilization. USA is founded on both originally for Catholics and keep foreigners at bay via manifest destiny made up myth poppycock. Today some thin minorities via Stop + Search, and school shootings☮️ https://t.co/kR0kekaYaw",,,,
37,1529900079255105544,@dhanuraashi @IntractableLion Sounds like a religion that rhymes with Baria,,,,
38,1529900067817082881,@TylerMc115 @econIsScarcity @Lee_IsOverIt @libsoftiktok Compared to this religion of transvestites,,,,
39,1529900057507639317,"@renime89 I was an atheist when I thought abortion was immoral. Christopher Hitchens was also against it. There are millions of pro-lifers with no religion and I have not once used my religion to argue the point only biology, logic, philosophy etc. (2/2)",,,,
40,1529900057390198810,"Schools do not teach one language, one maths strategy or one religion but prepare pupils for all possibilities. Same applies to the digital world. This is why our primary computing activity packs teach digital skills across many digital platforms. https://t.co/6PgHajSLey #edtech https://t.co/QTyhHij4Cm",,,,
