,id,text,hashtags,ron,religion,social_spheres,sentiment
0,1530131767138607105,"@favnaijaboi @AacAlimosho Discrimination, stereotype and bigotry has eaten deep into our society and only a candidate like Sowore how whom tribe, religion and every other think is the oppressed, can combat this epidemic. #SoworeforPresident",SoworeforPresident,,,,
1,1530131742904172544,"@sara_carrion_ War- hatred, religion, money. 
Let's just exist and make for a better life.",,,,,
2,1530131716202909696,"@vanessamaterial @17liveswasted @whalien__52m i am not talking to you if have the mindset of forced division among peers or you look forward with biased perspectives for either of the sumo teams. it ain't religion that forced y'all but the vicious egos , pride  &amp; will to always look down on eo , as if it's anything to boast.",,,,,
3,1530131716169273344,"also suzie being mormon. is funny. ""ill repent later"" girl i cant wait for you to renounce your religion im ready for it.",,,,,
4,1530131712587575296,"@alagbala777 @AacAlimosho Discrimination, stereotype and bigotry has eaten deep into our society and only a candidate like Sowore how whom tribe, religion and every other think is the oppressed, can combat this epidemic. #SoworeforPresident",SoworeforPresident,,,,
5,1530131711345958912,"@SolarpunkA @Glenn32842815 @lynnanthrop @myoverhandleft @notonyourNally @Variety Like religion, you're repeating dogmas ""trans women ARE women"", but this isn't true on various levels, except through the lens of faith.

""Identity categories of oppression"" is a tenuous metaphor; it works at a very abstract level, but you can do that with anything.",,,,,
6,1530131693180489730,"@ANI Kaun kahta hai ke india me freedom of expression ,behaviour hai ? Wo to Constitution ke panne per hi hai aur kahin nahi aur constitution sirph paper per hi hai ! Interfaith affairs if true ,are NOT BAD but both parties to it MUST stick to their own religion till one of them dies.",,,,,
7,1530131692836507648,"Conservatives are tweeting that religion &amp; prayer should be more prominent in schools.

Is religion Important in your daily life?  (% yes)

USA 67%
Austria 17%
Denmark 19%
Japan 24%
UK 25%

Number of mass shootings 2022

USA 214
Austria 0
Denmark 0
Japan 0
UK 0

Try again...",,,,,
8,1530131670266937345,"@jharmo @YeleSowore @ifemosumichael @Proficience_ @isexcel @MHungbeme @SaharaReporters @MobilePunch @ARISEtv @aacparty @TIBmovement Discrimination, stereotype and bigotry has eaten deep into our society and only a candidate like Sowore how whom tribe, religion and every other think is the oppressed, can combat this epidemic. #SoworeforPresident",SoworeforPresident,,,,
9,1530131667674877958,"Native doctor!
The religion you people practice is different from normal people's own. Fix up! https://t.co/n96wN0aGGK",,,,,
10,1530131663497445376,"@Josiensor ""Patriarchal religion"" lol.Yezidi only recognise both yezidi parents to be yezidi not just father.Even if they changed this,u brush over the main crux being SHARIA based IRAQI law stating the children have to be raised &amp; registered in the religon of the 'fathers' despite rape",,,,,
11,1530131615485005824,"Aryan Khan was falsely accused and arrested under the leadership of Virat Kohli

But Our beloved Hitman Rohit found that Aryan Khan was not a criminal and released him
People of every religion, every caste are feeling too safe under the able leadership of Rohit.
#Hitman
#Dravidba",Hitman Dravidba,,,,
12,1530131605913751554,"Discrimination, stereotype and bigotry has eaten deep into our society and only a candidate like Sowore how whom tribe, religion and every other think is the oppressed, can combat this epidemic. #SoworeforPresident",SoworeforPresident,,,,
13,1530131599219916802,"It's quite hilarious (it really isnt) that the Separation of Church and
State is becoming non-existent despite the First Amendment maintaining that we shouldn't force everyone else by making laws using religion as a basis (for say, abortion). https://t.co/nW9h33Q5fQ",,,,,
14,1530131590080524288,Stop forcing your religion down our throats. https://t.co/vJ1RQyV8CQ,,,,,
15,1530131583671226368,"@MayoIsSpicyy I’ve been saying it most of my adult life. Eventually there will be a takeover of religious extremism in our government. The far right wants a Christian Theocracy and they’re not hiding it. And of course the majority of them are “good white Christians?” 

Religion =poison.",,,,,
16,1530131581142290432,"@ShooterTech1 @Thirdeye1973 @RandPaul that is the point : religion as in the Bible the Talmud or the Koran, is a guide and a ""long term - narrative"" - the Bible is particularly interesting as a history book, even if ""changed"" several times. Example Moses and the escape from Egypt.",,,,,
17,1530131567812943872,@Ashitae200 @THEKOOKNISH also i respect all religions but after seeing all these people fighting over religions i just lost all my believe and interest in religion,,,,,
18,1530131532131848193,"😂😂😂. As per Imrando Naizi Chursi Qadiani washel’s Ex Wife Book , Imrando Naizi is having fun with Murad Saeed . No Abrahamic  Religion allows this kind of Fun https://t.co/y9Tek4pqIZ",,,,,
19,1530131515622965248,@RevRichardColes @lagowski Gimmie that old-time religion!,,,,,
20,1530131513454510081,"She was the first to show the world that Islam recognises women's rights and that Islam is not a conservative religion. But sadly, in Pakistan, we pay respect to her by claiming she was murdered by her husband, despite the fact that Imran Khan was expelled by foreign intervention",,,,,
21,1530131500011663360,religion is lesser,,,,,
22,1530131477215715329,Many Deceivers Preach in Christ's Name ▸https://t.co/tOVxAmHz7s | #Jesus #r #religion #Christian #prophecy #gospel #bible #endtime,Jesus r religion Christian prophecy gospel bible endtime,,,,
23,1530131463982788608,The only reason they're 'releasing' it is because it was being leaked.  Is ANYONE surprised? I'm not. Southern Baptist leaders release sex abuser database they kept secret for years https://t.co/MJB6Tdkj78,,,,,
24,1530131461751418884,"Nothing proves evolution more than the survival of the religious belief. It shows we are still fearful, partially formed animals with a terror of death and the dark
–Christopher Hitchens
#quotes #evolution #religion #science",quotes evolution religion science,,,,
25,1530131445506768896,"@nodsandsmiles @SuzeOK405 @bennyjohnson 62% of Japanese are not religious.
31% are Buddhist, which is an atheist religion.

so 93% of Japanese do not believe in a gods.

source: https://t.co/R3JDBvjepV",,,,,
26,1530131437751607296,"For 571 Days, attacks by Ethiopian &amp; Eritrean forces, have destroyed buildings dedicated to religion, education, charitable causes, culture, history &amp; hospitals. @BMZ_Bund @RegSprecher 
@MarisePayne @AuswaertigesAmt @HeikoMaas Don’t look away! #TigrayGenocide #EritreaOutOfTigray",TigrayGenocide EritreaOutOfTigray,,,,
27,1530131428133961728,"really pleased to see this, I hope a lot of people pick this book up and enjoy it. especially now, being a book that's 'about' many things but especially the violence of borders (of religion, the nation-state &amp; of gender) https://t.co/Y0IXXJbfUZ",,,,,
28,1530131421309845504,"@BHigginsonUKUB The Irish News is a sectarian newspaper. It publishes its editorials under the motto "" Pro Fide et Patria."" Conflates the Catholic religion and Irish Nationalism.",,,,,
29,1530131395447775234,Una religion of extremism dey worry oh! https://t.co/rxK563ZGYQ,,,,,
30,1530131366003675136,@Ashes21828973 @Rajveer89769930 @a41200376 @Niqita_7 @Sayan_Dasss @SAfridiOfficial indian army has all religions unlike ur country terrorist religion army https://t.co/tTU66SsseV,,,,,
31,1530131331169984513,"Dear @RishadPremji This is extremely dissapointing.  Surely an institution which bears your name should not be discriminating on the basis of religion.

Wipro is widely respected across India and this will actually hurt it's brand value. https://t.co/xJUeRmndCI",,,,,
32,1530131306172059650,"@Hdsayed @Zak83173145 @Tanvir_Ansari N who is responsible for ur community to be weak n vulnerable, this attitude that religion rules u guys, this attitude ki ladkiya pehnegi burqa n hijab, this attitude that u will keep asking for #Women oppressive laws in the name of #Shariah
that's what Christianity did as well",Women Shariah,,,,
33,1530131290376540160,Religion demands sacrifice. You must be a leftist/atheist/anti-Modi propagandist/American agent/armchair jihadi/liberal apologist/Rahul Gandhi fan/whatever else works! https://t.co/LVT75yHJqB,,,,,
