,id,text,hashtags,ron,religion,social_spheres,sentiment
0,1538853796725465088,"@CarnivoresJ @PankajSaxena84 #PankajSaxena blames Islamic faith for  Human slavery, so I tell him about Hinduism and it's Slavery history, Slavery is mentioned in every ancient religion , Whether it's Judism, Christianity, Hinduism, Buddhism, Islam,etc....",PankajSaxena,,,,
1,1538851686328201216,"@Hermeticstoner @RanjiniD @rukhsanabooks You must live a miserable life, to come on here and call some a 'dumbass' right away. Much like the teacher that berated the girl. 
And yes, she must have known the religion, else why pick Muslim, why not Asian or Black or Buddhist or Republican?",,,,,
2,1538851580795142144,"Be kind to all creatures,
This is the true religion.

The Buddha https://t.co/9ZYT66Q2jh",,,,,
3,1538848369711489029,"@BttmLdn_ @Men Bitch religion is fake lmao who gives a fuck! I’ll fuck in from of Allah, Mary, any and all of the Buddha’s, etc! Fuck if I care sissy! y’all suck dick on the internet n wanna talk about respect 😮 girl the lines are blurred here just keep it pushin",,,,,
4,1538848334915309568,"@Farhan68020698 @Klm80156466 @ExMuslimHindu @himself271 @IslamCritic @UsmanAyoube @ArravPea12 @FluffyPotate @DNAslayer @ReginIeIe @ZaraElamin @allamaishaan @Zuhair_Ahmed96 @HarrisJaso @AlternateFact7 @bssaxI @ZainabAM18 @unchainedfree @MissPiggysmart @just_dinesh @harshalx @darzeeshan956 @vagabondram @SurakshaWelfare @khanumarfa Sikh are part of dharmik religion. For Jain, Buddhist and Sikh, India is their natural motherland so they don't need to go anywhere but jihadists has to move out to their favourite country Pakistan. Moderate Muslims dont need to worry as they are part of wider hindu community.",,,,,
5,1538846816040587264,"If there is any religion that could respond to the needs of modern science, it would be #Buddhism - Albert Einstein",Buddhism,,,,
6,1538846271737405442,"My religion is very simple. My religion is kindness. Dalai Lama

#DalaiLama #religions #Buddhism",DalaiLama religions Buddhism,,,,
7,1538845345794383873,"Be kind to all creatures,
This is the true religion.

The Buddha https://t.co/04YpnSMUVH",,,,,
8,1538843343622381568,"@SankaD @AstroPjs Yes. Beyond religion, we are also bound by local customs. Many things we do are not textbook Buddhism or Hinduism, but rather an amalgamation and a Sri Lankan variant.",,,,,
9,1538843239406776320,"@GaneshGMGC @KurmaShivakuma3 @srinimsengg @N0rbertElekes Your English is weak ig
Sanatana is not a ritual or a religion 
Your Tamil literature, Buddhism, Jainism, Hinduism and Sikhism they all are it's branches!",,,,,
10,1538842736748535809,soukor was built on  Buddhist/confucian beliefs and christianity which  is almost the only religion where cousins can't get married became successful after the fall of juseon and the monarchy system https://t.co/XERhvnXRpK,,,,,
11,1538839163264548866,"Be kind to all creatures,
This is the true religion.

The Buddha https://t.co/hbGlULEhNR",,,,,
12,1538838208884408320,@RajapaksaNamal @GotabayaR Noble triple gem? If you guys knew even a inch of the noble teachings of Buddhism we wouldn't be in this state! Please stop insulting the religion FFS🙏,,,,,
13,1538833139530874882,@Abdulrazaqmoha6 @sidiq_kamaldeen @Naija_PR See religion analyst. If Na China dem born you no be Buddhist you go be mumu,,,,,
14,1538821291989409792,"genetics/religion/culture/language –synthesis of Sinic/Tibetan and Indic world), again starting off with their version of unique #Buddhism (overlapped and intermixed with #Hinduism). Again, in keeping with ""western academic"" (that too from Anglosphere) instantly accorded highest https://t.co/vKyNQELCZv",Buddhism Hinduism,,,,
15,1538821058358153217,"5 largest religion in the world 🌎

• Christianity (31.2%)
• Islam (24.1%)
• Crypto &amp; Web3 People (WAGMI%)
• Hinduism (15.1%)
• Buddhism (6.9%)",,,,,
16,1538819692227203072,Yes Buddhism monk should take that back... I am too learning this religion and find many good things which are no where in hinduism https://t.co/Pfc7YkICYr,,,,,
17,1538799339346087936,"@AjitsinhJagirda @ParasKGhelaanii @bgopu1973 @DrGarekar @nkjohri @Anti_Congressi In India there is a Sikh, Jain, Buddhist, Parsi and Muslim but other than Muslim no religion does 
Not questioned about India's 
Constitutional safe guard, only by 
Muslim minority ,they forgot about 
F Ali, APJ Abdul Kalam, Md Ali, Kirmani, Nasiruddin Shah and so 
Many!",,,,,
18,1538796477245722624,@ChiranjitOjha @Kingshuk1314 @shaluunova @LudditeNed Religion itself westen concept show me one example Buddha say he is from Buddha religion or pillar edicts of Ashoka never mention Buddha dharma it mentions dhamma!!!,,,,,
19,1538795921806618624,"@ByRakeshSimha No for them Hinduism is a new religion, Sanatana dharma was different, and Buddhism and Jainism are older than Hinduism. They hate anything #Hindu and #Brahmin.",Hindu Brahmin,,,,
20,1538781142882689025,"@JaiDeep94259074 @amaanbali Your religion has no future .No one take this religion full of bigoted buffoons seriously who follow plagarised teachings of hinduism,christianity,islam and buddhism. No wonder sikhism isn't even a religion beyond ponjab",,,,,
21,1538779038180851718,"@GeneralChina6 @MarthaKarua So ull prefer the cons wielding the religious instruments? 

Which religion should we adopt? Islam, Xtianity,  Buddhism, African? 

I want to see where ua hypocrisy gets u.",,,,,
22,1538777728635260928,assimilated as refugees. The Vedic religion would be born much later (probably around the time of Buddha or slightly before) with significant philosophical influence of the preexisting Sanatan religion of India. The Sanskrit language was artificially created from Chandas and the,,,,,
23,1538774400748908544,@Common_Man123 @zahacktanvir Islam is a religion that is propogated and preached like Buddhism. I cannot blame if people accept new religion. You cannot have a constant rule that those who practice a religion today their next generations must compulsorily be believe the same religion.,,,,,
