,id,text,hashtags,ron,religion,social_spheres,sentiment
0,1534834435488903169,"Look at these f00ls in burk@😂😂, I appreciate their unity when it comes to their religion, even though it's TRUE!!! Have you seen this kind of UNITY in #Hindus ?!!

#NupurSharma #IStandWithNupurSharma 

@Rajput_Ramesh @UshaNirmala @KapilMishra_IND @AskAnshul https://t.co/e7DIWxrCeR",Hindus NupurSharma IStandWithNupurSharma,,,,
1,1534834432938414080,"@asim_shafeeque @beingarun28 Terrorism, Rape, murder, beheading ka concept bhi aap hi chala rahe hai.. 

Wonderful religion!!",,,,,
2,1534834423182524417,This goes to show yet again that half of Christians don't even understand their own religion https://t.co/j7RxMRcyst,,,,,
3,1534834408586465280,"@Furi_FN @BuckLavish @IH8MysticalMane @Mark_Medina @Mgarcia_100 @Xbox This argument could be used for religion as well. By itself its perfectly fine but when you take it to an extreme its used in maliciousness, labeling all priests as pedophiles is just as foolish as labeling all trans people as such. Dysphoria is a very real problem, not made up.",,,,,
4,1534834401154310144,"@Mangesh_hiv @Voice_For_India If you have accepted the new changes made by human, who have limited inteligence. Then what's divine about your religion. so you are telling me that your religion over the course has lost it's authenticity.",,,,,
5,1534834395038863360,"@Mongrelbite @Richard77638470 @Torino101 @MZA_1999 @DominiqueTaegon And in the essence of you saying “it’s supposed to be a free country” is exactly the reason why I’m allowed to say it’s a load of rubbish, etc as much as you are to say everyone who doesn’t follow your religion is wrong.",,,,,
6,1534834390689193984,"@ii_sebi Africans used fairytales etc to educate their kids .these people came and  thought it was all real, stole everything   made it part of their tradition and religion, no wonder why they are all failing . some of them are now speaking the truth.",,,,,
7,1534834382590029824,@_Kapil_08 @AdvAshutoshBJP @TheAaryanKartik Saving and preserving your own religion is not real problem!? Ajeeb bhasad hain to ye yaar!!!,,,,,
8,1534834354567819264,"@ShikamaruPk I never ever liked him.

But you don't know if someone's been forgiven or what.

So this nation needs to at least follow their own religion. At least.",,,,,
9,1534834339946831872,@DrMAzam @AltNews @HereisKinjal 4/n There are no any incidents if murders ( 4 in a day recently ) who lost their lives to the violence in the name of religion! .,,,,,
10,1534834321139572736,"I just woke up to a great shitness reading bout some mere human that small as tiny dust dare to insult one of of the noblest Prophet Muhammad and my religion. Sir and ma'am,get a life,touch the grass. Don't mind other people's religion if you just want to insult it, be respectful",,,,,
11,1534834317037146113,@AbhishBanerj Who's that ass**** who claims India to culturally belong to muslims geographically?Hasn't that bast**** read the history of India and it's past of more than 15-20000 years of glorious times of it's culture n life style n how n when did the so called cult religion come to exist?😤,,,,,
12,1534834313652768768,'Is Zeina Alostwani Muslim? People Have Noticed Hijab On The Georgia School Teacher That Got Arrested ' https://t.co/zEAOIhuwuK,,,,,
13,1534834307055108096,"be very intentional and not lose focus 🧘. We must look beyond party, tribe or religion. We must focus on capacity and capabilities. To lead people, you must be fit physically, mentally, intellectually and emotionally fit. You can not give what you do not have, a drowning man can",,,,,
14,1534834295533146112,@felvienne @sexiestpigeon @DoctorAmyE @ArmoredChocobo @parabolaxis @Manny71904260 @BasedByAccident If you understood religion and were religious you wouldn't have a timeline filled with niche pornography and fetish material. https://t.co/3olWqzUaqD,,,,,
15,1534834287740166144,Gugile Nkwinti would have made a great pastor. I remember at my aunt's funeral in the 90s. He outshone everyone who preached that day including Stanley Mogoba and Khoza Mgojo. He was sensational. Even people who were dozing off became alive. Religion missed out.,,,,,
16,1534834276197343234,"@jesawyer @iboudreau ah yes, my new religion",,,,,
17,1534834254873604096,Gunshots break out at LDS Church’s Hill Cumorah Visitors’ Center but relax all you folks standing in holy places  https://t.co/cERHGbXXOU,,,,,
18,1534834252893900806,"We justify priceless. Whether a religion is a price for
؟?
سےفے نمشے https://t.co/mBPYFoBIjY",,,,,
19,1534834248850542594,@adewuyi_wojuade @Temmy05402557 @izaacharold @ademiportant @Osi_Suave Till Election Day sha . You ll understand how it works. Tribalism and religion is an integral part to influence .,,,,,
20,1534834244777824257,"@172e8320bc8e414 @Hk3AUUNpmzcutFE @deepak9744 @amjadt25 No Thank u sir🙏 i don't wish to be added as a member of ur cult.
Am happy with my religion and u be happy with urs.
I respectfully end this discussion.",,,,,
21,1534834228294168577,"@Slahuddinoffic1 Why u kiss kabba ? Is kabba nt stone ? U spreading lie abt urine drinking, mocking idol worship nd same time showing so called respect!!! We knw truth. Islam is not a religion but a cult which people blindly follow. Religion never talk about murder , rape , oppression of Kafir.",,,,,
22,1534834223856726017,"@nikita_thierry @RichardHirst13 Science was usurped as a 'Reset' by all it thought to escape. As also Religion.
When masking control is revealed baseless, its model mutates or is extended with fudge, ie genetic dogma.
Bury the murder under novel 'foundations' by lie built on lie to 'survive' a covert Identity.",,,,,
23,1534834211307364352,"@JonClauseVonDux @Acyn Sort of a placebo that sometimes works.  Religion has admittedly caused more wars.  It’s a popularity contest and root to destruction, actually.  Thus functions spiritually.  😣",,,,,
24,1534834197558337536,"Avoid sexual deviancy or anything that's associated with it. Stay clear of the modern day trends.
Safeguard your religion even if it means being called names.
For example, don't buy rainbow printed items because it's commonly a symbol of the sodomite movement.",,,,,
25,1534834194182029312,"@Dojiii Welcome to our lovely religion sweetheart, we are here to help and support you and you can reach out to me for further help on anything ♥️",,,,,
